Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Acta Dermato-Venereologica,0001-5555,1651-2057,1600,EUR
Acta Mycologica,0001-625X,2353-074X,400,EUR
Acta Psychologica,0001-6918,1873-6297,1500,USD
Acta Societatis Botanicorum Poloniae,0001-6977,2083-9480,520,EUR
Actas Dermo-Sifiliográficas,0001-7310,1578-2190,1900,EUR
Journal of the American Society for Horticultural Science,0003-1062,2327-9788,3500,USD
Archives Animal Breeding,0003-9438,2363-9822,240,EUR
Arquivos Brasileiros de Oftalmologia,0004-2749,1678-2925,500,BRL
Automatika,0005-1144,1848-3380,300,GBP
Bragantia,0006-8705,1678-4499,50,USD
Caryologia ,0008-7114,2165-5391,150,EUR
Comprehensive Psychiatry,0010-440X,1532-8384,2100,USD
Current Therapeutic Research,0011-393X,1879-0313,1500,USD
Electronics Letters,0013-5194,1350-911X,2000,EUR
DIE ERDE: Journal of the Geographical Society of Berlin,0013-9998,,350,EUR
Farmacja Polska,0014-8261,2544-8552,540,PLN
Florida Entomologist,0015-4040,,747,USD
Genus,0016-6987,2035-5556,860,GBP
Netherlands Journal of Geosciences,0016-7746,1573-9708,1870,GBP
Ginekologia Polska,0017-0011,,400,EUR
Hereditas,0018-0661,1601-5223,1490,GBP
Indian Journal of Public Health,0019-557X,2229-7693,4000,INR
Measurement + Control,0020-2940,2051-8730,1200,USD
Arquivos do Instituto Biológico,0020-3653,1808-1657,800,BRL
International Dental Journal,0020-6539,1875-595X,2550,GBP
Jornal de Pediatria,0021-7557,1678-4782,1000,USD
Journal of Biological Chemistry,0021-9258,1083-351X,2500,USD
Journal of Glaciology,0022-1430,1727-5652,1200,GBP
Journal of Lipid Research,0022-2275,1539-7262,2500,USD
Koers : Bulletin for Christian Scholarship,0023-270X,2304-8557,513,ZAR
Indonesian Journal of Geography,0024-9521,2354-9114,100,USD
Medicina (Buenos Aires),0025-7680,1669-9106,3000,ARS
Medicine,0025-7974,1536-5964,1950,USD
Journal of the Meteorological Society of Japan,0026-1165,,220000,JPY
Micronesica,0026-279X,,350,USD
Milk Science International,0026-3788,2567-9538,300,EUR
Annals of the College of Medicine Mosul,0027-1446,2309-6217,125000,IQD
Nukleonika,0029-5922,,45,EUR
Pakistan Armed Forces Medical Journal,0030-9648,2411-8842,1000,PKR
Phytopathologia Mediterranea,0031-9465,1593-2095,750,EUR
