,0,1,2,3,4,5
1178-7090,1396.27,1540.01,2002.516315789474,1907.4779999999998,2031.385,1925.2633333333333
1664-1078,1315.2916538461536,1699.8495433789953,1862.4588432835822,1913.3196363636364,2058.493198529412,2047.232030456853
1929-4409,,,,,,
2041-6695,502.89,409.43111111111114,460.8275000000001,599.8538461538462,480.8388888888889,508.28000000000003
1932-6203,1291.1849356499358,1408.0277238029146,1452.5876965140126,1433.6060160427808,1570.3334610917539,1598.9506506024095
1927-6044,,,428.04499999999996,,,
1471-2202,1628.8933333333334,1624.2408333333333,1661.8557142857142,1691.18125,1661.24,1661.24
1696-2095,,,,107.1,,
1662-5161,1362.8144303797467,1698.1209638554217,1887.6047674418603,1960.2193023255813,2136.1005,2178.9110714285716
1438-8871,1728.905,2042.0126315789473,2545.432333333333,2307.7870967741933,2329.4836842105265,1989.3765384615383
1471-2377,1625.239411764706,1635.8126315789475,1640.5555555555557,1668.959,1913.4722222222222,1873.7350000000001
1477-7525,1729.0873333333334,1670.55625,1613.8830769230772,1670.0388888888888,1684.099230769231,1736.5
2234-943X,1463.1776923076925,1311.926666666667,1729.4950000000003,1706.8923529411763,1897.7654901960786,1994.115
0278-0240,,,1869.4650000000001,1694.355,1504.295,1631.72
1425-9524,834.2900000000002,1122.13,1136.0,1488.49,1819.6533333333334,1920.41
1367-2630,1482.1157865168539,1491.4238650306747,1428.113154362416,1525.5502970297032,1526.000882352941,1438.75875
1553-7366,2099.4879245283023,2132.832173913044,2236.3019718309865,2088.906111111111,2170.0013636363633,2297.098
1923-4023,,,,,,
1025-5834,710.0,,842.0,1231.0,885.36,
1756-0500,958.5992307692309,1004.9006060606062,1027.7508823529408,982.9464864864866,1082.588888888889,1151.6755555555553
2193-1801,774.7575,969.3482608695648,1105.0,,,
2191-219X,1404.8999999999999,1476.071428571429,1489.4208333333336,1526.0740000000003,1771.08625,2100.33375
1129-2369,1397.6542857142856,1466.8700000000001,,1548.95,1721.3366666666668,1634.7649999999999
1748-717X,1655.92,1676.5681818181815,1610.4586956521741,1688.4104545454547,1848.0871999999997,1934.5426666666672
1746-1596,1644.6699999999998,1690.86,1745.0,1661.24,2703.96,
1742-4690,1747.03875,1802.992857142857,1976.06,1967.685,,
1756-3305,1712.3237500000002,1731.9596551724142,1781.3991176470586,1640.7296428571426,1755.0376,1814.843125
1750-1172,1824.627894736842,1836.9658823529412,1876.3791666666668,1873.3582352941178,1915.4550000000002,1914.6053846153848
1471-2407,1687.6926470588237,1654.4914035087718,1692.5137931034485,1668.8694736842106,1741.181489361702,1900.3318181818183
1471-2415,1900.34,1483.336,1651.6314285714286,1682.14,1604.0499999999997,1699.95
1364-8535,1778.912857142857,1887.7489999999998,2129.599,2091.5944444444444,1934.665,2537.1850000000004
1471-230X,1635.4733333333334,1622.2166666666665,1563.944,1681.8916666666667,1734.4383333333335,1735.36
1471-244X,1690.2675757575757,1667.0317777777777,1689.98,1647.4061111111112,1788.1289285714286,1729.0790909090908
1743-422X,1643.4766666666667,1607.0900000000001,1708.6525000000001,1635.4166666666667,1865.9266666666665,2242.6400000000003
1477-7819,1737.0100000000002,1917.625,2035.1680000000001,2003.96,1948.2542857142857,1780.24
1744-9081,1620.47,2001.3933333333332,1800.0,1661.24,,
1472-6882,1604.05,1654.8966666666665,1626.355,1662.6714285714284,1760.8033333333333,
1742-9994,1644.875,1793.986,1724.2649999999999,1747.1775,1786.5844444444444,1658.58
2042-8952,,,,,,
2158-3226,1289.7052631578947,1262.3654166666665,1329.3751515151512,1284.8957692307692,1322.1258333333335,1402.017
2330-1511,698.105,,824.395,523.325,,
2048-6790,1000.0,1289.99,1475.9450000000002,1184.25,,
1927-0526,,,,,,
0280-6495,1435.5525,1394.7916666666667,1272.9077777777777,1569.3175,1282.1375,1904.0
1867-8610,1146.5410714285713,1139.0,,1481.718,,
1664-042X,1066.9037037037037,1850.8220512820517,1859.0314150943395,2127.61625698324,2206.87416,2012.060649350649
1664-462X,1237.8925714285715,1700.5834210526316,1885.6176027397264,2077.908828828829,2320.7810091743117,2236.7280769230774
1996-1073,1126.118888888889,1088.5695833333332,1308.9591139240506,1196.4317821782179,1379.3055172413792,1505.025
2072-4292,1323.5221875000002,1415.588181818182,1374.558705882353,1299.4272,1394.0700000000002,1631.1224647887325
1422-0067,1486.3113157894738,1493.2817391304345,1549.7493457943922,1466.918846153846,1437.7752439024391,1727.068142857143
1935-2727,1990.2716279069768,2033.0587500000001,2058.899012345679,2057.821612903226,2157.2380000000003,2120.7088888888884
0941-2948,1734.2566666666667,1534.902,1560.6666666666667,1543.3277777777778,1775.8249999999998,1595.696
2160-0384,,,,673.2083333333334,644.23,
2152-7180,710.1700000000001,636.38,687.0,633.0,,
2211-1522,,,773.72,,,
