,0,1,2,3,4,5
1178-7090,1396.27,1540.01,2002.516315789474,1907.4779999999998,2032.1299999999999,
1664-1078,1312.9484108527129,1699.8495433789953,1862.227794676806,1907.7851711026617,2019.5209009009006,1940.037142857143
1929-4409,,,,,,
2041-6695,502.89,409.43111111111114,460.8275000000001,598.9484615384615,448.10600000000005,768.22
1932-6203,1290.6071504307488,1407.9255396711937,1453.800013986014,1441.1113601532566,1588.4978142857142,1719.8584615384611
1927-6052,,,428.04499999999996,,,
1471-2202,1628.8933333333334,1624.2408333333333,1661.8557142857142,1691.18125,1661.24,
1696-2095,,,,107.1,,
1662-5161,1362.8144303797467,1718.7328205128206,1883.8878823529408,1944.5521428571426,2042.4999999999995,1956.0
1438-8871,1728.905,2042.0126315789473,2559.234827586207,2325.6055172413794,2302.54,
1471-2377,1625.239411764706,1635.8126315789475,1640.5555555555557,1668.959,1996.9042857142863,
1477-7525,1729.0873333333334,1670.55625,1613.8830769230772,1670.0388888888888,1675.5666666666668,
2234-943X,1463.1776923076925,1311.926666666667,1729.4950000000003,1792.8958064516128,1946.8067500000002,1856.4933333333338
0278-0240,,,1869.4650000000001,1694.355,1963.0,
2329-0358,834.2900000000002,1122.13,1136.0,1488.49,1819.6533333333334,
1367-2630,1482.1157865168539,1491.4238650306747,1428.113154362416,1525.5502970297032,1498.0113043478261,1237.6
1553-7374,2096.1631372549023,2127.885714285714,2236.3019718309865,2081.1953125,2159.7553333333326,
1923-4031,,,,,,
1029-242X,710.0,,842.0,1231.0,885.36,
1756-0500,958.5992307692309,1004.9006060606062,1031.4039393939393,979.5561111111112,1070.9926666666668,
2193-1801,778.077,969.3482608695648,1105.0,,,
2191-219X,1439.118,1494.9076923076925,1499.15,1526.0740000000003,1789.5957142857146,
1129-2377,,,,,,
1748-717X,1655.92,1676.5681818181815,1620.247142857143,1688.4104545454547,1815.7431818181817,
1746-1596,1644.6699999999998,1690.86,1745.0,1661.24,,
1742-4690,1747.03875,1802.992857142857,1976.06,1885.37,,
1756-3305,1712.3237500000002,1731.9596551724142,1781.3991176470586,1632.752075471698,1803.3250000000003,
1750-1172,1824.627894736842,1836.9658823529412,1876.3791666666668,1846.7941176470588,1915.4550000000002,
1471-2407,1687.6926470588237,1654.4914035087718,1692.5137931034485,1678.8068518518517,1753.7365853658537,
1471-2415,1900.34,1483.336,1651.6314285714286,1682.14,1632.674,
1364-8535,1778.912857142857,1893.9788888888886,2129.599,2091.5944444444444,1934.665,
1471-230X,1661.032,1622.2166666666665,1578.01,1681.8916666666667,1684.818,
1471-244X,1690.2675757575757,1667.0317777777777,1689.98,1643.046285714286,1802.1196153846154,1870.0
1743-422X,1643.4766666666667,1607.0900000000001,1708.6525000000001,1635.4166666666667,1865.9266666666665,
1477-7819,1737.0100000000002,1917.625,2035.1680000000001,2003.96,1837.2116666666668,
1744-9081,1620.47,2001.3933333333332,1800.0,1661.24,,
1472-6882,1604.05,1654.8966666666665,1626.355,1662.6714285714284,1760.8033333333333,
1742-9994,1644.875,1793.986,1728.3359999999998,1747.1775,1787.8457142857144,
2042-8960,,,,,,
2158-3226,1289.7052631578947,1262.3654166666665,1324.9229999999998,1284.8957692307692,1351.3989473684212,
2330-1511,698.105,,824.395,523.325,,
2048-6790,1000.0,1289.99,1475.9450000000002,1184.25,,
1927-0534,,,,,,
1600-0870,1435.5525,1394.7916666666667,1272.9077777777777,1569.3175,1282.1375,
1867-8610,1146.5410714285713,1139.0,,1481.718,,
1664-042X,1066.9037037037037,1840.495263157895,1854.1999038461536,2121.4462111801245,2172.8106122448976,1488.335
1664-462X,1235.7389855072465,1682.5540277777775,1886.9797872340428,2063.016868686869,2237.227323943662,1851.845
1996-1073,1126.118888888889,1097.1273913043478,1325.5834210526318,1193.2341836734695,1360.2624210526315,1685.095
2072-4292,1284.020322580645,1415.588181818182,1387.13825,1314.8244444444445,1365.9467741935484,
1422-0067,1486.3113157894738,1493.8459999999998,1550.2118867924526,1468.7265789473684,1432.7945161290322,1592.0661538461538
1935-2735,1990.2716279069768,2033.0587500000001,2058.899012345679,2056.6656666666668,2132.052391304348,
0941-2948,1734.2566666666667,1534.902,1560.6666666666667,1543.3277777777778,1775.8249999999998,
2160-0368,,,,673.2083333333334,,
2152-7180,710.1700000000001,636.38,687.0,633.0,,
2211-1522,,,773.72,,,
1880-5981,540.84,285.6,900.0,1012.8033333333333,1106.0433333333333,
1471-2296,1708.6033333333332,1627.1699999999998,1565.47625,1723.7700000000002,1610.602,1661.24
2191-0855,1539.7937499999998,1646.2,1676.86125,1735.1133333333335,1541.145,
1471-2180,1554.865294117647,1656.7780769230767,1638.9740000000004,1551.5883333333334,1655.53375,1845.0
1746-6148,1659.4094117647057,1548.7961538461536,1510.862,1540.1308333333334,1714.5385714285712,
1741-7007,2030.7981249999998,2021.9123076923076,2019.666,2270.0723076923077,2163.2628571428572,
1752-4571,1540.172,1789.4475,1788.9115384615384,1556.788888888889,1678.0787500000001,
1684-9981,1173.1299999999999,1434.525,1450.9246153846154,1403.6263636363635,1713.152,
1432-0576,578.7476923076924,345.35249999999996,839.7384210526316,1029.5193749999999,1164.771111111111,
2195-9269,1052.665,1370.88,887.86,,,
1994-0424,1543.8828571428571,1229.1341176470587,1462.9648148148146,1731.2635714285714,1617.1568000000002,
1867-8548,1310.6303125,1559.4985714285715,1521.2696363636364,1589.5811999999999,1634.6602272727273,
1814-9332,1190.2523076923078,1236.035,1755.1660000000002,1704.0529166666665,1580.6626315789472,1438.71
1607-7938,1156.5327777777775,1342.7994999999999,1791.092608695652,1721.9727500000001,1625.1606060606061,2213.4
1424-8220,1664.8833333333334,1620.877288135593,1588.2313829787233,1363.6669158878503,1380.9004098360656,1891.31
2045-2322,1397.2125174825176,1351.7291789473686,1426.0692557150455,1532.4009500805153,1681.6506317204303,1805.2678260869566
1994-0440,1068.6233333333332,1166.5633333333333,891.15,1759.8649999999998,,
1991-962X,1480.57,1476.71,1544.5700000000002,,,
2195-478X,,,,,,
2296-424X,1046.679090909091,1580.7533333333333,1170.83,1529.2228571428573,1862.3400000000001,1928.92
2296-6463,1385.9212499999999,1556.1036363636363,1709.4349999999997,1548.2464000000002,1469.092380952381,
2073-4441,1045.5992307692309,1097.8266666666668,1189.9137777777778,1064.7490322580645,1125.3426153846156,1710.2933333333333
2041-1723,4039.2975373134336,4043.489693251534,3921.2286231884063,4103.136864608076,4196.459417040359,5057.98
0975-2293,,,,,,
0091-6765,,,,,,
2090-4002,527.86,449.36,1036.42,1022.0,1106.0,
1942-0900,1409.88,1466.48,1823.0858333333333,1863.1599999999999,1995.182,2413.13
1094-4087,1787.858111111111,2079.5681578947374,2182.4220143884895,2158.2452040816324,2082.781219512195,
1759-6653,1573.1794736842103,1607.7549999999999,1541.2183333333332,1532.5857142857146,1656.447142857143,
1471-2229,1636.3382608695651,1645.2593749999999,1600.5628571428572,1725.9557142857143,1665.2588888888888,
1471-2458,1728.0310666666667,1590.0176842105263,1649.556956521739,1679.5981111111107,1713.4507142857144,1796.0
1471-2164,1717.768051948052,1677.0149253731342,1667.6960273972602,1678.1338297872346,1668.5783333333331,
2000-8198,1172.521,1285.9575,1435.37,1319.9385714285713,1595.880625,
1662-5153,1391.0338636363638,1713.8378571428573,1978.2603846153845,1979.2552631578951,2084.123333333333,
2160-1836,1671.135,1742.1511111111113,1895.3362499999998,1920.5118181818177,1936.8546153846155,
2090-7427,,,,,,
1314-2488,,,,539.165,779.09,
2168-3832,,,,,,
2164-2818,,,,,,
1944-3277,1597.0175,1600.6860000000001,1749.4479999999999,1619.08,,
1687-1812,,,,,,
1471-2105,1662.037213114754,1589.307333333333,1611.6271111111107,1671.0985185185186,1553.590740740741,
1747-597X,1395.72,1135.1133333333335,1494.78,,1894.48,
1752-1505,1794.78,1429.03,1627.27,1575.605,1684.9299999999998,
1471-2148,1690.1637142857144,1683.4196874999998,1727.6483333333333,1643.9336666666668,1747.0838461538463,
1471-2121,1745.7933333333333,1525.1433333333334,1714.2866666666666,1425.38,,
1471-2431,1696.3772727272728,1677.0627272727272,1697.025,1669.111875,1747.1388888888891,
1472-6785,1661.24,1534.8049999999998,1715.8619999999999,1376.3385714285712,1721.67875,
2166-532X,2014.4524999999999,2230.1683333333335,2177.346666666667,1940.6022222222225,2005.932857142857,
2210-2612,422.56,554.0533333333333,707.48,803.375,868.7,
1662-5129,1426.24,1641.4385714285713,1930.6372727272728,1973.028888888889,2166.206,
1687-9120,,832.83,,,,
2314-6133,1505.7346666666667,1833.0018181818182,1817.592105263158,1915.4715151515152,2101.0849999999996,2201.04
2218-1989,589.76,716.4116666666667,784.7049999999999,666.6,1060.8915384615384,1599.24
2152-7806,179.9,437.53,380.0,,,
2041-4889,2512.96,2469.736,2724.402,2831.943888888889,3198.1150000000002,3772.3
0305-1048,1915.1093396226413,1963.5746846846848,1900.9758598726112,1790.9744318181818,1901.2179999999998,2433.7650000000003
1662-4033,,,,,,
1745-6215,1832.7480769230772,1762.2009374999998,1692.5430645161289,1722.2268965517244,1743.57,1432.0
2041-1480,1600.94375,1712.368,1502.912,1655.3400000000001,1661.24,
1754-9493,1423.76,1504.16,1661.24,1500.26,1741.7633333333333,
1471-2482,1580.4175000000002,1683.0475000000001,1661.2400000000002,1660.8533333333332,1768.2649999999999,
1742-4682,,,,,,
1471-2156,1790.6433333333332,1656.3560000000002,1689.4036363636362,1566.87,1571.3200000000002,
1746-160X,1759.195714285714,1634.165,1752.2766666666666,1653.5639999999999,1719.55,
1472-6750,1616.8425,1823.915,1690.22,1712.1466666666665,1810.5783333333331,
1752-0509,1675.5783333333336,1578.9141666666667,1576.493333333333,1816.1974999999998,1642.05,
1471-2318,1670.699,1766.167,1630.4354545454546,1653.4406666666666,1814.9733333333331,
1478-811X,1993.6080000000002,1947.5514285714287,1806.4333333333334,1579.2733333333333,2242.46,
2047-783X,1871.7784615384621,1899.2400000000002,1899.24,1884.025714285715,1889.351111111111,
2157-6998,,,1054.3600000000001,1453.89,,
2051-817X,1354.9950000000001,1280.2923529411764,1372.6623529411763,1174.6905263157892,1497.4175,
2296-7745,1519.792,1541.6569230769232,1643.2858333333334,1401.0946875,1539.9788888888886,1726.86
1664-302X,1328.9923157894737,1804.3644086021504,1980.3125294117647,2084.2620744680853,2230.667948717949,1934.77
1662-5188,1585.953846153846,1743.1113333333335,2114.82,2058.6014285714286,2480.1366666666668,
1662-6443,1440.0,,,,,
1662-5102,1266.844418604651,1669.9426666666666,1961.8615625,2076.4846000000002,2179.8526923076925,
1664-2295,1195.246875,1365.9785,1610.3506896551726,1848.6444897959184,1994.2963043478264,2006.625
1662-5099,1442.1633333333334,1278.9614285714285,1871.5626666666665,2036.6430952380947,1987.4447826086962,
1664-8021,1081.4651724137932,1415.5400000000002,1475.054375,1508.1196551724138,1939.701875,
1662-5137,1128.8775,1181.9766666666667,1709.444705882353,1606.5666666666666,1876.5675,1726.86
1663-9812,1084.7853846153846,1478.5491666666667,2085.5372413793098,2043.5374999999997,1966.1302272727269,1849.34
1664-3224,1215.9715217391306,1635.4820454545456,1951.7460106382978,2108.379375,2089.5525242718445,1824.6000000000001
1662-5110,1649.7383333333335,1551.813846153846,1917.2923076923075,2148.2966666666666,2188.116,
1662-5196,1649.3580000000002,1811.6025,2066.5392307692305,1997.8338461538465,2208.4816666666666,2742.85
1662-453X,1278.1481395348837,1604.8479166666666,1989.9925714285716,2092.1395454545454,2119.486571428572,2101.5
1663-3563,,1475.385,1654.725,1510.3033333333333,1794.4666666666665,
1757-4676,2806.3218181818183,2899.844,3029.568666666667,2933.9387500000003,3147.84,
1664-0640,1336.66,1598.625,1533.5336666666667,1794.8331034482758,1989.3967164179103,1885.5220000000002
1662-5145,1198.7749999999999,1638.7099999999998,1627.03,1548.0549999999998,880.48,
1553-7404,2119.2755555555555,2132.856101694915,2100.8454117647057,2140.209268292683,2253.9616666666666,
1553-7358,2044.200481927711,2138.4963235294117,2213.029873417722,2177.379245283019,2220.6244,2461.3433333333337
1545-7885,2804.0522222222226,2715.5781818181817,2745.742916666666,2767.1963157894734,2853.9607692307695,
2045-7758,1470.3063333333334,1412.777356321839,1424.0825233644862,1372.9445333333333,1408.0747142857142,1165.01
2162-3279,1713.26,1756.9119999999998,1543.2669230769231,1745.1575,1576.9350000000002,
2045-8827,1509.3333333333333,1572.0955555555556,1601.2355555555557,1790.1609090909092,1745.17,1733.0
2191-1363,,1967.0083333333334,1456.8715384615389,1680.7953846153848,1681.1114285714284,
2296-634X,2031.146,1242.306111111111,1086.310909090909,1377.19875,1697.8754838709676,
1663-4365,1496.088181818182,1874.2112,1877.2953333333337,2067.980357142857,2123.292142857143,
2327-5219,,,291.83000000000004,,,
1556-276X,,,,,,
1471-2350,1622.5,1728.4940000000001,1790.4983333333332,1571.8,1661.24,
1471-2369,1662.3549999999998,1660.8400000000001,1659.857857142857,1658.9466666666667,1664.6966666666667,
1471-2466,1700.0064285714284,1750.6476923076925,1627.4785714285715,1596.8737499999997,1700.9066666666668,
1471-2474,1620.8126086956522,1640.7937096774192,1606.8748936170216,1673.9377083333331,1783.2916129032258,1894.48
1472-6920,1695.051739130435,1708.6725,1609.9690476190478,1621.2515384615385,1686.9276190476191,
1472-6939,1764.3470000000002,1894.8244444444447,1843.252222222222,1736.565,1713.59,1123.36
1472-6963,1683.1578125,1681.8977777777775,1674.7881999999997,1669.1426923076922,1758.6327272727272,
1475-2875,1757.9533333333336,1786.5372413793104,1806.7147368421054,1755.8477083333335,1867.7623529411765,
1476-511X,1705.975,1517.47,1680.215,1844.02,1676.94,
1479-5876,1645.42625,1709.3564285714288,1699.6511111111113,1515.1642857142856,2189.3460000000005,
1532-429X,1555.90625,1638.33,1884.5577777777778,1910.9544444444446,2012.6374999999998,
1742-7622,2347.62,1623.0833333333333,1578.54,1513.7333333333333,,
1749-799X,1830.6871428571428,1899.22,1847.7685714285712,1895.5275000000001,1879.0880000000002,1857.5900000000001
1754-1611,1566.04,1709.8466666666666,1732.64,1660.1000000000001,1756.75,
1757-2215,1351.9099999999999,1498.87,1483.25,,1918.975,
1757-7241,1569.7700000000002,1709.7376923076927,1696.6933333333336,1810.9859999999996,1812.5255555555555,
1759-2208,,,,,,
2047-1440,,1961.68,,,,
2050-2974,1536.9879999999998,1537.5666666666666,1803.6833333333334,1616.27,1661.24,
2162-3619,,1649.7925,,,,
2190-8567,947.5,,1088.855,1248.72,,
1465-6906,2175.3193333333334,,,,,
1297-9686,1381.2350000000001,1399.779,1465.659411764706,1493.7044444444446,1552.3500000000001,
1471-2261,1395.5649999999998,1617.2735714285716,1721.5799999999997,1685.07125,1727.2649999999999,
1471-2288,1780.9022727272727,1689.9973684210527,1710.08,1633.5130000000004,1735.209,
1471-2334,1688.5104166666667,1690.9920930232558,1685.7816129032258,1718.1168421052632,1691.4375,
1471-2393,1712.5590476190478,1655.851724137931,1623.5811538461542,1619.4159523809524,1737.8655000000003,1432.0
1471-2490,1627.92,1571.62,1872.46,,1637.78,
1476-4598,1602.8755555555554,1685.7737499999998,1691.366,1661.24,,
1741-7015,2244.8974999999996,2142.0,2332.755909090909,2258.3272727272724,2355.525555555556,
1743-0003,1518.3066666666666,1730.1975,1706.0439999999999,1840.0871428571427,1843.35375,
1756-8935,1942.2633333333333,1632.2633333333333,1670.8733333333332,1955.4633333333331,2179.11,
2046-4053,1950.0983333333334,1871.3997142857143,1877.9207692307693,1806.6783333333333,1812.9027272727274,
2051-5960,1161.843,1084.9931034482756,1090.0914285714287,1154.4766666666665,1534.0145454545454,
1756-8722,1707.99,1931.58,2083.96,,2003.96,
2044-6055,1893.3349242424244,1649.050853080569,1515.6478326996198,1614.9836991869918,1616.1736428571428,
1740-2522,,,,,,
1534-7362,1743.3965217391303,1763.4296,1741.315925925926,1715.3015151515153,1950.06,1957.9233333333332
1758-7360,,,,,,
1471-213X,1703.7266666666667,1626.4916666666668,1840.4,1619.935,1623.0,
1472-6831,1724.237857142857,1723.1306666666667,1733.3883333333333,1648.155,1709.36375,
1472-6890,1502.18,,,,,
1475-2859,1421.358125,1474.823846153846,1825.2206666666668,1636.7526666666665,1929.5369999999998,
1742-2094,1727.9821428571431,1868.6825,1883.9115384615384,1909.7063157894736,1909.426363636364,
1746-4269,1808.39,1629.04,1750.775,1891.62,,
1746-4811,1648.2649999999999,1568.205,1776.03,1805.748,2060.8050000000003,
1747-1028,,,,2057.53,1785.0,
1747-5341,1351.84,1661.24,1602.915,,1009.12,
